id,province_name,city_name,dealer,customer_code,ERP_connection,sell in sales name,2TL Bosch sales name,sell out sales name,warehouse_type,warehouse_name,warehouse_code,warehouse_address,KZ_coverage_tag,GBB_category_tag
,河北省,保定市,江苏康众汽配有限公司,KZ,是,,,,康众门店,定州仓库,,河北省保定市定州市定州市建设街中段通达酒店对面街道300米,,
,北京市,北京市,江苏康众汽配有限公司,KZ,是,,,,康众门店,鄂尔多斯达旗仓库（合作）,,内蒙古自治区鄂尔多斯市达拉特旗210国道校服厂北30米康众汽车配件,,
,山西省,太原市,江苏康众汽配有限公司,KZ,是,,,,康众门店,新康众太原物流中心,,山西省太原市,,
,河北省,唐山市,江苏康众汽配有限公司,KZ,是,,,,康众门店,唐山开平TDC仓库,,河北省唐山市开平区唐山成林数控机械设备厂,,
,河北省,邢台市,江苏康众汽配有限公司,KZ,是,,,,康众门店,邢台沙河仓库,,河北省邢台市沙河市机场路与东环路交叉口南行100米路西长鸿汽修,,
,北京市,北京市,江苏康众汽配有限公司,KZ,是,,,,康众门店,邯郸永年仓库,,河北省邯郸市永年区振兴路与科技街交叉口天猫养车院内,,
,山西省,忻州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,忻州忻府区仓库,,山西省忻州市忻府区七一北路集贸小区28号,,
,河北省,沧州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,任丘北环仓库（合作）,,河北省沧州市任丘市北环西路73号,,
,河北省,唐山市,江苏康众汽配有限公司,KZ,是,,,,康众门店,唐山乐亭仓库（合作）,,河北省唐山市乐亭县河北省唐山市乐亭县乐安街道院士街52号,,
,河北省,沧州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,泊头仓库（合作）,,河北省沧州市泊头市交通大街远东油泵南100米路西 康众汽配,,
,河北省,保定市,江苏康众汽配有限公司,KZ,是,,,,康众门店,保定高碑店仓库（合作）,,河北省保定市高碑店市新泰西路210号,,
,内蒙古自治区,鄂尔多斯市,江苏康众汽配有限公司,KZ,是,,,,康众门店,鄂尔多斯伊旗仓库（合作）,,内蒙古自治区鄂尔多斯市康巴什区碳中和研究院朋伙养车旗舰店汽配仓康众汽配,,
,山西省,太原市,江苏康众汽配有限公司,KZ,是,,,,康众门店,太原杏花岭仓库,,山西省太原市杏花岭区马道坡建盛家园251号六味斋旁地下室康众汽配,,
,天津市,天津市,江苏康众汽配有限公司,KZ,是,,,,康众门店,天津塘沽TDC仓库,,天津市天津城区滨海新区塘沽海洋科技园聚源路288号,,
,内蒙古自治区,巴彦淖尔市,江苏康众汽配有限公司,KZ,是,,,,康众门店,巴彦淖尔临五路仓库（合作）,,内蒙古自治区巴彦淖尔市临河区建设北路万客乐对面康众汽配,,
,山西省,阳泉市,江苏康众汽配有限公司,KZ,是,,,,康众门店,阳泉盂县仓库（合作）,,山西省阳泉市盂县秀水镇南关村第二实验小学往南100米,,
,河北省,石家庄市,江苏康众汽配有限公司,KZ,是,,,,康众门店,石家庄赵县仓库,,河北省石家庄市,,
,山西省,吕梁市,江苏康众汽配有限公司,KZ,是,,,,康众门店,吕梁离石仓库,,山西省吕梁市离石区新建街107号,,
,河北省,石家庄市,江苏康众汽配有限公司,KZ,是,,,,康众门店,石家庄晋州仓库,,河北省石家庄市晋州市世纪街天猫养车,,
,河北省,邢台市,江苏康众汽配有限公司,KZ,是,,,,康众门店,邢台龙泉仓库,,河北省邢台市襄都区龙泉大街148号,,
,河北省,邢台市,江苏康众汽配有限公司,KZ,是,,,,康众门店,邢台宁晋仓库,,河北省邢台市宁晋县兴宁街1号康众汽配,,
,河北省,保定市,江苏康众汽配有限公司,KZ,是,,,,康众门店,保定涞水仓库（合作）,,河北省保定市涞水县庄疃路口聚财路3号,,
,北京市,北京市,江苏康众汽配有限公司,KZ,是,,,,康众门店,保定清苑仓库（合作）,,河北省保定市清苑区育才街康众汽配,,
,内蒙古自治区,巴彦淖尔市,江苏康众汽配有限公司,KZ,是,,,,康众门店,巴彦淖尔临河仓库（合作）,,内蒙古自治区巴彦淖尔市临河区乌兰布和路盛世豪城路北,,
,河北省,石家庄市,江苏康众汽配有限公司,KZ,是,,,,康众门店,石家庄正定仓库（合作）,,河北省石家庄市正定县正定华安路与新开街交叉口北关村牌楼下,,
